Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
CHA,Amari Bailey,65,2.3,0.7,0.3,0.6,0.3,0,1.2,0.8,0.1,1.75,G
CHA,JT Thor,781,3.2,0.5,1.63,0.68,0.17,0.43,1.49,1.29,0.44,1.93,F
CHA,James Bouknight,81,3.6,0.4,0.57,0.07,0.07,0.07,0.71,2.14,0.93,3,G
CHA,P.J. Washington Jr.,1286,13.6,2.2,4.07,1.2,0.86,0.73,6.45,5.55,1.8,1.47,F
CHA,Vasilije Micić,815,10.8,6.2,1.7,0.43,0.73,0.13,4.67,3.63,1.07,2.66,G
CHA,Cody Martin,753,7.5,3.7,3.21,0.68,1.14,0.64,3.29,3.07,0.96,2.36,G-F
CHA,Brandon Miller,2383,17.3,2.4,3.45,0.81,0.89,0.57,5.46,6.66,2.49,1.33,F-G
CHA,Théo Maledon,200,4.2,2.2,1.46,0.31,0.54,0,2.15,2.31,0.38,1.87,G
CHA,Kyle Lowry,0,0,0,0,0,0,0,0,0,0,0,G
CHA,Nathan Mensah,307,1.3,0.4,1.44,1.16,0.24,0.56,0.88,0,0,0.64,C
CHA,Nick Richards,1759,9.7,0.8,5.48,2.57,0.39,1.1,7.58,0.01,0,0.74,C
CHA,Gordon Hayward,798,14.5,4.6,3.68,1,1.12,0.48,6.8,2.44,0.88,2.27,F
CHA,Mark Williams,508,12.7,1.2,5.68,4,0.84,1.05,10.32,0,0,1.29,C
CHA,Leaky Black,284,2.7,0.9,1.5,0.35,0.31,0.42,1.08,0.77,0.35,4,F
CHA,Miles Bridges,2581,21,3.3,6.29,1.03,0.94,0.48,10.23,6.52,2.28,1.67,F
CHA,Nick Smith Jr.,729,5.9,1.2,1.06,0.35,0.2,0.14,1.33,2.86,1.24,1.51,G
CHA,LaMelo Ball,711,23.9,8,3.82,1.32,1.82,0.18,9.91,8.95,3.18,2.12,G
CHA,Dāvis Bertāns,583,8.8,0.9,1.57,0.25,0.82,0.32,0.86,6.29,2.36,1.53,F
CHA,Terry Rozier,1065,23.2,6.6,3.33,0.57,1.07,0.4,8.87,7.73,2.77,3.05,G
LAC,Kai Jones,0,0,0,0,0,0,0,0,0,0,0,F-C
LAC,Ivica Zubac,1794,11.7,1.4,6.32,2.88,0.32,1.22,9.88,0,0,1.18,C
LAC,Robert Covington,69,3,2.3,2,0.67,2,0.67,0.67,2.67,0.67,0,F
LAC,Brandon Boston Jr.,345,5.2,0.4,1.03,0.59,0.34,0.25,2.44,1.63,0.44,0.54,G
LAC,KJ Martin,31,5,0.5,1,0.5,1,0.5,3,2.5,0.5,0.5,F
LAC,Marcus Morris Sr.,0,0,0,0,0,0,0,0,0,0,0,F
LAC,Xavier Moon,119,2.4,1.5,0.71,0.57,0.21,0.21,1.14,1.21,0.14,4.2,G
LAC,Russell Westbrook,1529,11.1,4.5,3.68,1.37,1.09,0.34,6.91,2.26,0.62,2.13,G
LAC,Moussa Diabate,64,2.6,0.4,0.82,1.36,0.45,0.09,1.82,0,0,2,F
LAC,Bones Hyland,540,6.9,2.5,1.35,0.14,0.7,0.11,2.54,3.65,1.19,2.11,G
LAC,Kobe Brown,394,2,0.6,0.95,0.45,0.27,0.14,1,1.09,0.32,2.78,F
LAC,Mason Plumlee,674,5.3,1.2,3.78,1.3,0.3,0.37,3.78,0.13,0,1.53,F-C
LAC,Jordan Miller,28,1.6,0,0.25,0.38,0,0,1,0.25,0.13,0,F
LAC,James Harden,2470,16.6,8.5,4.65,0.47,1.07,0.79,3.92,6.78,2.58,3.32,G
LAC,Terance Mann,1873,8.8,1.6,2.23,1.16,0.57,0.2,4.67,2.72,0.95,2.48,G-F
LAC,Nicolas Batum,54,2.7,1.7,2.33,0,1,1.33,0.67,2.33,0.67,5,G-F
LAC,Joshua Primo,10,1,0,0,0.5,0,0.5,1,0.5,0,0,G
LAC,Amir Coffey,1460,6.6,1.1,1.7,0.41,0.59,0.2,2.43,2.63,1,2.3,G-F
LAC,Kawhi Leonard,2330,23.7,3.6,4.88,1.24,1.63,0.87,10.5,4.94,2.06,2.05,F
LAC,P.J. Tucker,420,1.6,0.6,1.57,0.96,0.46,0.18,0.29,1.07,0.39,2.67,F
LAC,Paul George,2502,22.6,3.5,4.74,0.5,1.53,0.5,5.62,7.95,3.28,1.71,F
LAC,Daniel Theis,1007,6.3,1,2.69,1.44,0.36,0.86,4.27,1.19,0.44,1.45,F-C
LAC,Norman Powell,1990,13.9,1.1,2.36,0.21,0.57,0.29,4.53,5.05,2.2,1.24,G
BOS,Payton Pritchard,1825,9.6,3.4,2.38,0.85,0.48,0.07,2.66,4.66,1.79,4.61,G
BOS,Lamar Stevens,122,2.8,0.4,1,0.63,0.32,0.26,1.68,0.42,0.16,0.89,F
BOS,Oshae Brissett,630,3.7,0.8,1.8,1.11,0.35,0.15,1.89,1,0.27,2.2,F-G
BOS,Kristaps Porzingis,1690,20.1,2,5.47,1.7,0.74,1.95,8.63,5.14,1.93,1.29,F-C
BOS,Nathan Knight,0,0,0,0,0,0,0,0,0,0,0,F-C
BOS,Jordan Walsh,83,1.7,0.6,1.67,0.56,0.56,0.11,0.89,1,0.22,1.67,F
BOS,Jrue Holiday,2263,12.5,4.8,4.19,1.22,0.88,0.77,4.72,4.67,2,2.69,G
BOS,Dalano Banton,171,2.3,0.8,0.96,0.5,0.21,0.13,1.42,0.67,0.08,1.9,G
BOS,JD Davison,39,2,1.3,1,0.25,0.13,0.13,0.25,0.88,0.38,5,G
BOS,Neemias Queta,333,5.5,0.7,2.46,1.89,0.46,0.75,4.64,0,0,1.54,C
BOS,Drew Peterson,23,3.7,0.3,0.33,0,0.67,0,0.67,1.67,1,1,F
BOS,Svi Mykhailiuk,413,4,0.9,0.98,0.27,0.27,0.02,0.68,2.63,1.02,2.92,G-F
BOS,Jayson Tatum,2645,26.9,4.9,7.22,0.91,1.01,0.58,9.43,8.23,3.09,1.94,F-G
BOS,Derrick White,2381,15.2,5.2,3.55,0.7,1.01,1.19,4.74,6.78,2.68,3.37,G
BOS,Jaden Springer,130,2.1,0.5,0.71,0.47,0.65,0.24,1.18,0.65,0.12,1.13,G
BOS,Al Horford,1740,8.6,2.6,5.09,1.26,0.58,0.95,3.05,3.97,1.66,3.5,C-F
BOS,Sam Hauser,1741,9,1,2.92,0.57,0.51,0.32,1.06,5.89,2.49,2.56,F
BOS,Xavier Tillman Sr.,274,4,1,2,0.7,0.45,0.45,2.5,1.4,0.4,4,F-C
BOS,Luke Kornet,983,5.3,1.1,2.27,1.87,0.37,0.97,4.41,0.02,0.02,3.19,C-F
BOS,Jaylen Brown,2343,23,3.6,4.33,1.2,1.19,0.53,11.49,5.86,2.07,1.5,G-F
WAS,Patrick Baldwin Jr.,493,4.4,0.8,2.79,0.45,0.47,0.39,1.47,2.55,0.82,1.53,F
WAS,Jared Butler,566,6.3,3.2,1.23,0.23,0.73,0.2,3.45,1.95,0.6,2.52,G
WAS,Delon Wright,456,4.1,2.5,1.39,0.39,1.06,0.24,1.82,1.15,0.42,7.45,G
WAS,Bilal Coulibaly,1715,8.4,1.7,3.17,0.89,0.9,0.76,3.75,2.94,1.02,1.26,F-G
WAS,Jordan Poole,2346,17.4,4.4,2.31,0.41,1.1,0.32,6.23,7.23,2.36,1.82,G
WAS,Deni Avdija,2257,14.7,3.8,6.08,1.12,0.8,0.48,8.08,3.13,1.17,1.79,F
WAS,Corey Kispert,2067,13.4,2,2.44,0.38,0.51,0.2,4.75,6,2.3,1.59,F
WAS,RJ Hampton,0,0,0,0,0,0,0,0,0,0,0,G
WAS,Hamidou Diallo,5,1,0.5,0,1,1,0,1,0,0,1,G
WAS,Landry Shamet,726,7.1,1.2,1,0.35,0.54,0.22,2.04,3.41,1.15,1.8,G
WAS,Danilo Gallinari,385,7,1.2,2.46,0.46,0.23,0.12,1.77,2.46,0.77,2.58,F
WAS,Kyle Kuzma,2281,22.2,4.2,5.74,0.89,0.53,0.7,11.2,6.43,2.16,1.54,F
WAS,Johnny Davis,613,3,0.6,1.08,0.36,0.36,0.2,1.8,0.8,0.28,2.46,G
WAS,Daniel Gafford,1192,10.9,1.5,5.11,2.91,0.98,2.16,8.76,0,0,1.5,F-C
WAS,Justin Champagnie,235,5.9,1.3,2.27,1.27,0.67,0.6,2.53,3,0.87,1.9,G-F
WAS,Tristan Vukcevic,153,8.5,1.3,3,0.6,0.5,0.7,3.6,3.6,1,1.3,C
WAS,Anthony Gill,466,3.8,0.7,1.14,0.74,0.26,0.22,2.56,0.82,0.2,1.48,F
WAS,Mike Muscala,338,4,0.9,2.21,0.92,0.21,0.29,1.33,2.13,0.58,1.38,F-C
WAS,Eugene Omoruyi,393,4.8,0.8,1.16,0.81,0.63,0.12,3.07,1.07,0.3,1.67,F
WAS,John Butler Jr.,0,0,0,0,0,0,0,0,0,0,0,C
WAS,Jules Bernard,149,3.9,0.8,0.84,0.53,0.16,0.05,1.79,1.53,0.58,2,G
WAS,Isaiah Livers,0,0,0,0,0,0,0,0,0,0,0,F
WAS,Tyus Jones,1933,12,7.3,2.41,0.3,1.08,0.27,5.48,3.88,1.61,7.35,G
WAS,Trey Jemison,1,0,0,0.5,0,0,0,0,0,0,0,C
WAS,Marvin Bagley III,575,13.3,1.2,4.58,3.5,0.63,0.79,9.92,0.71,0.33,0.93,F-C
WAS,Ryan Rollins,66,4.1,1.1,0.9,0.2,0.8,0.3,2,0.3,0.2,1.57,G
WAS,Richaun Holmes,318,7.1,0.6,3.88,2.24,0.47,0.59,5.53,0.18,0.06,0.83,F
DAL,Greg Brown III,40,2.5,0.7,1,0.5,0,0.67,1.33,0.5,0.17,1,F
DAL,Seth Curry,457,4.3,0.8,1.03,0.42,0.47,0.08,0.67,2.22,0.81,1.88,G
DAL,Dante Exum,1088,7.8,2.9,2.25,0.45,0.4,0.09,3.75,1.96,0.96,3.2,G
DAL,Dereck Lively II,1294,8.8,1.1,4.42,2.45,0.65,1.4,8.04,0.04,0,1.2,C
DAL,Markieff Morris,216,2.5,0.6,1.35,0.15,0.19,0.12,0.38,1.62,0.58,1.33,F
DAL,Tim Hardaway Jr.,2120,14.4,1.8,2.94,0.28,0.53,0.08,2.78,7.56,2.67,2.01,G-F
DAL,Maxi Kleber,871,4.4,1.6,2.63,0.7,0.4,0.7,1.26,2.14,0.74,2.43,F
DAL,Daniel Gafford,623,11.2,1.6,4.72,2.21,0.72,1.93,10,0,0,1.64,F-C
DAL,Derrick Jones Jr.,1783,8.6,1,2.21,1.08,0.7,0.67,4.03,3.14,1.08,1.15,F
DAL,Grant Williams,1242,8.1,1.7,2.62,0.98,0.51,0.57,1.96,4.47,1.68,1.53,F
DAL,Olivier-Maxence Prosper,336,3,0.6,1.35,0.63,0.18,0.1,1.25,1.13,0.33,2.75,F
DAL,A.J. Lawson,311,3.2,0.5,0.86,0.33,0.24,0.07,1.86,1.19,0.31,1.43,G
DAL,P.J. Washington Jr.,935,11.7,1.5,5.07,1.1,1.17,0.93,4.97,5.83,1.83,1.47,F
DAL,Dexter Dennis,30,5.5,1,2,0.25,0,0.25,4,2,0.25,1.33,G
DAL,Dwight Powell,836,3.3,1.3,1.86,1.54,0.41,0.32,2.25,0.05,0.02,2.63,F-C
DAL,Jaden Hardy,989,7.3,1.5,1.52,0.27,0.3,0.05,2.49,3.07,1.11,1.76,G
DAL,Alex Fudge,26,5.5,0,0.5,1,1.5,0,4,1.5,0.5,0,F
DAL,Josh Green,1505,8.2,2.3,2.53,0.7,0.82,0.16,3.44,3.28,1.26,2.17,G
DAL,Brandon Williams,113,3.2,1,0.53,0.24,0.06,0.06,1.53,0.88,0.18,2.43,G
DAL,Luka Dončić,2624,33.9,9.8,8.4,0.84,1.41,0.54,11.06,10.63,4.06,2.43,F-G
DAL,Kyrie Irving,2030,25.6,5.2,4.24,0.76,1.28,0.48,9.52,7.26,2.98,2.82,G
DAL,Richaun Holmes,237,3.4,0.7,1.96,1.43,0.13,0.39,2.87,0,0,1.25,F
DEN,DeAndre Jordan,396,3.9,0.7,2.86,1.5,0.17,0.44,3.22,0,0,1.13,C
DEN,Justin Holiday,862,4,1.2,1.07,0.16,0.62,0.16,0.72,2.34,0.95,4.79,F-G
DEN,Jay Huff,49,1.2,0.1,0.45,0.1,0.1,0.15,0.6,0.45,0.15,2,C
DEN,Aaron Gordon,2297,13.9,3.5,4.07,2.38,0.77,0.62,9.51,1.89,0.55,2.47,F
DEN,Hunter Tyson,48,1.1,0.1,0.44,0.06,0.06,0,0.22,0.78,0.22,1,F
DEN,Julian Strawther,545,4.5,0.9,1.12,0.1,0.34,0.14,1.48,2.76,0.82,2.04,G
DEN,Michael Porter Jr.,2565,16.7,1.5,5.67,1.31,0.52,0.65,4.77,6.84,2.72,1.33,F
DEN,Jalen Pickett,122,1.6,0.8,0.48,0.04,0.15,0,0.22,0.93,0.33,2.33,G
DEN,Zeke Nnaji,576,3.2,0.6,1.12,1.05,0.26,0.66,2.17,0.4,0.1,1.19,F-C
DEN,Collin Gillespie,225,3.6,1.1,0.83,0.04,0.54,0,1,1.58,0.63,1.93,G
DEN,Jamal Murray,1861,21.2,6.5,3.39,0.71,0.97,0.66,7.08,5.78,2.46,3.07,G
DEN,Reggie Jackson,1817,10.2,3.8,1.49,0.4,0.54,0.16,4.34,3.46,1.24,2.91,G
DEN,Vlatko Cancar,0,0,0,0,0,0,0,0,0,0,0,F
DEN,Peyton Watson,1488,6.7,1.1,2.53,0.7,0.53,1.1,3.73,1.9,0.56,1.48,G
DEN,Braxton Key,60,1.1,0.5,0.75,0.15,0.1,0.05,0.4,0.25,0.1,9,F
DEN,Christian Braun,1655,7.3,1.6,2.77,0.96,0.51,0.43,3.68,2,0.77,2.4,G
DEN,Kentavious Caldwell-Pope,2402,10.1,2.4,2,0.41,1.29,0.55,2.47,4.05,1.64,2.44,G
DEN,Nikola Jokić,2737,26.4,9,9.53,2.82,1.37,0.86,16.81,2.92,1.05,2.99,C
ATL,Mouhamed Gueye,73,4,0.7,2,1.67,0.83,0.67,1.67,1.5,0.5,4,F
ATL,Bruno Fernando,682,6.3,1,2.98,1.31,0.56,0.62,4.84,0.09,0,1.05,F-C
ATL,Miles Norris,0,0,0,0,0,0,0,0,0,0,0,F
ATL,Seth Lundy,52,1.6,0,0.67,0.11,0,0,0,1.44,0.33,0,F
ATL,Onyeka Okongwu,1405,10.2,1.3,4.2,2.64,0.47,1.09,7.2,1.25,0.42,1.64,F-C
ATL,Wesley Matthews,413,3.1,0.6,1.22,0.25,0.44,0.31,0.5,1.92,0.67,2.88,G
ATL,Dejounte Murray,2783,22.5,6.4,4.54,0.79,1.42,0.31,8.79,7.1,2.58,2.5,G
ATL,Dylan Windler,73,4.7,0.5,1.5,0.5,0.33,0,0.67,2.83,1.33,1.5,G-F
ATL,Vit Krejci,541,6.1,2.3,1.86,0.5,0.59,0.27,1.91,3.09,1.27,2.5,G
ATL,Garrison Mathews,992,4.9,0.6,1.14,0.26,0.3,0.12,0.36,2.92,1.29,1.95,G
ATL,Patty Mills,202,2.7,0.7,0.79,0.26,0.47,0.05,0.32,1.79,0.68,1.75,G
