"Team_Alias","Player_Name","Minutes","PPG","APG","DefRBD","OffRBD","SPG","BPG","Paint_PPG","att_3PT_pg","made_3PT_pg","ATO","Position","scoring","shooting","passing","defense","rebounding"
"UTA","Omer Yurtseven",545,4.6,0.6,2.83,1.5,0.17,0.38,3.79,0.5,0.1,0.78,"C",22,4,1,4,68
"UTA","Walker Kessler",1493,8.1,0.9,4.94,2.58,0.47,2.41,7.03,0.3,0.06,0.91,"C",55,12,2,92,92
"UTA","Collin Sexton",2075,18.7,4.9,1.72,0.91,0.79,0.23,8.77,4.17,1.64,2.32,"G",84,78,81,42,27
"UTA","Kelly Olynyk",1019,8.1,4.4,3.82,1.26,0.74,0.24,4.04,1.68,0.72,2.7,"F-C",41,27,82,37,72
"UTA","Kelly Olynyk",1019,8.1,4.4,3.82,1.26,0.74,0.24,4.04,1.68,0.72,2.7,"F-C",67,50,71,90,80
"UTA","Ochai Agbaji",1003,5.4,0.9,1.78,0.69,0.53,0.57,2.2,2.78,0.92,1.38,"G",16,22,11,34,22
"UTA","Ochai Agbaji",1003,5.4,0.9,1.78,0.69,0.53,0.57,2.2,2.78,0.92,1.38,"G",35,19,12,51,50
"UTA","Talen Horton-Tucker",1009,10.1,3.5,1.96,0.41,0.88,0.37,4.59,3.57,1.18,2.72,"G",48,48,73,55,17
"UTA","Brice Sensabaugh",584,7.5,1.7,2.69,0.5,0.41,0.19,2.44,3.59,1.06,1.17,"F",27,34,18,10,29
"UTA","Taylor Hendricks",856,7.3,0.8,3.48,1.15,0.7,0.75,2.6,3.5,1.33,1.19,"F",28,41,6,57,67
"UTA","Simone Fontecchio",1160,8.9,1.5,2.48,1.04,0.6,0.36,2.68,4.66,1.82,1.43,"F",36,57,22,29,45
"IND","Andrew Nembhard",1697,9.2,4.1,1.54,0.53,0.93,0.09,4.38,2.51,0.9,2.77,"G-F",45,38,80,46,14
"IND","Isaiah Jackson",771,6.4,0.8,2.4,1.57,0.57,1.02,5,0.07,0,1.28,"F",40,7,8,58,62
"IND","Tyrese Haliburton",2224,20.1,10.9,3.42,0.51,1.2,0.7,6.49,7.75,2.83,4.73,"G",81,93,100,88,41
"IND","Myles Turner",2076,17.1,1.3,5.45,1.47,0.51,1.87,7.95,4.21,1.51,0.92,"C-F",80,71,7,86,86
"IND","Ben Sheppard",814,4.4,0.9,1.3,0.26,0.58,0.04,1.3,2.74,0.86,3.53,"G",7,17,60,15,6
"IND","Pascal Siakam",1303,21.3,3.7,5.71,2.07,0.76,0.37,13.41,2.46,0.95,2.62,"F",96,79,81,44,83
"IND","Pascal Siakam",1303,21.3,3.7,5.71,2.07,0.76,0.37,13.41,2.46,0.95,2.62,"F",97,73,74,44,91
"IND","Bennedict Mathurin",1538,14.5,2,2.95,1.02,0.59,0.24,6.14,3.63,1.36,1.23,"G-F",71,64,28,24,54
"IND","Doug McDermott",204,4.2,0.7,0.5,0.11,0.28,0,0.78,3.11,1,3.25,"F",9,44,40,1,1
"IND","Jalen Smith",1047,9.9,1,3.69,1.84,0.28,0.62,5.38,2.36,1,1.43,"F-C",51,42,14,15,82
"IND","Buddy Hield",1336,12,2.7,2.56,0.65,0.83,0.6,3.19,6.87,2.63,2.24,"G",48,78,58,61,31
"IND","Aaron Nesmith",1995,12.2,1.5,2.94,0.88,0.9,0.68,4.42,4.64,1.94,1.69,"G-F",55,67,31,74,48
"IND","Jordan Nwora",183,5.2,1,1.39,0.44,0.33,0.06,2.56,2,0.61,1.5,"F",38,33,10,27,34
"IND","Daniel Theis",8,2,0,0,0,0,0,2,1,0,0,"F-C",35,15,14,32,63
"IND","T.J. McConnell",1291,10.2,5.5,2.18,0.51,1.01,0.11,7.07,0.62,0.25,3.61,"G",60,24,94,54,24
"IND","Obi Toppin",1730,10.3,1.6,2.87,1.04,0.57,0.52,5.51,3.09,1.24,1.86,"F",54,50,36,35,53
"IND","Bruce Brown",981,12.1,3,3.91,0.76,1.06,0.24,6.18,3.06,1,2.44,"G-F",62,52,66,66,60
"IND","Bruce Brown",981,12.1,3,3.91,0.76,1.06,0.24,6.18,3.06,1,2.44,"G-F",52,29,54,36,46
"TOR","Scottie Barnes",2094,19.9,6.1,5.88,2.35,1.25,1.47,10.13,4.93,1.68,2.2,"G-F",88,82,88,96,93
"TOR","Jalen McDaniels",538,3.4,0.7,1.22,0.36,0.38,0.12,2.08,1.42,0.24,1.23,"F",7,3,5,7,7
"TOR","Pascal Siakam",1354,22.2,4.9,4.92,1.38,0.82,0.26,12.77,3.72,1.18,2.29,"F",96,79,81,44,83
"TOR","Pascal Siakam",1354,22.2,4.9,4.92,1.38,0.82,0.26,12.77,3.72,1.18,2.29,"F",97,73,74,44,91
"TOR","RJ Barrett",1072,21.8,4.1,5.31,1.06,0.59,0.41,13.94,3.75,1.47,1.65,"F-G",97,83,64,31,81
"TOR","Gradey Dick",1268,8.5,1.1,1.75,0.45,0.57,0.03,2.57,4.02,1.47,1.36,"G-F",31,48,13,14,15
"TOR","Gary Trent Jr.",1994,13.7,1.7,2.3,0.35,1.08,0.14,3.52,6.38,2.51,2.53,"G",55,80,50,62,19
"TOR","Kelly Olynyk",740,12.7,4.6,4,1.61,1.32,0.64,6.93,2.54,0.86,1.8,"F-C",41,27,82,37,72
"TOR","Kelly Olynyk",740,12.7,4.6,4,1.61,1.32,0.64,6.93,2.54,0.86,1.8,"F-C",67,50,71,90,80
"TOR","OG Anunoby",900,15.1,2.7,3.04,0.89,1.04,0.48,6,6.04,2.26,1.67,"G-F",72,80,45,77,50
"TOR","Dennis Schroder",1559,13.7,6.1,2.31,0.43,0.9,0.16,4.39,4.31,1.51,3.77,"G",58,64,96,47,22
"TOR","Ochai Agbaji",638,6.7,1.3,1.89,1.44,0.74,0.56,4,2.56,0.56,1.2,"G",16,22,11,34,22
"TOR","Ochai Agbaji",638,6.7,1.3,1.89,1.44,0.74,0.56,4,2.56,0.56,1.2,"G",35,19,12,51,50
"TOR","Jordan Nwora",529,7.9,1.3,2.82,0.59,0.59,0.35,3.65,2.79,0.97,1.07,"F",38,33,10,27,34
"TOR","Immanuel Quickley",1265,18.6,6.8,4.47,0.32,0.89,0.18,5.58,7.13,2.82,3.67,"G",77,91,97,47,55
"TOR","Jakob Poeltl",1319,11.1,2.5,5.66,2.92,0.7,1.52,9.6,0,0,1.65,"C",74,21,43,86,95
"TOR","Chris Boucher",705,6.4,0.5,2.9,1.24,0.28,0.48,3.08,1.88,0.62,0.82,"F",26,20,1,11,59
"TOR","Bruce Brown",885,9.6,2.7,3,0.82,0.71,0.26,5.76,1.85,0.59,2.04,"G-F",62,52,66,66,60
"TOR","Bruce Brown",885,9.6,2.7,3,0.82,0.71,0.26,5.76,1.85,0.59,2.04,"G-F",52,29,54,36,46
"ORL","Anthony Black",1164,4.6,1.3,1.54,0.48,0.51,0.3,2.03,1.36,0.54,1.63,"G",11,10,25,20,12
"ORL","Goga Bitadze",957,5,1.3,2.85,1.76,0.52,1.16,4,0.23,0.03,1.8,"C-F",27,4,30,61,73
"ORL","Markelle Fultz",910,7.8,2.8,1.91,1.3,0.98,0.35,6.05,0.42,0.09,2.4,"G",49,11,61,65,44
"ORL","Paolo Banchero",2799,22.6,5.4,5.9,1.03,0.89,0.59,9.68,4.39,1.49,1.74,"F",92,84,78,68,84
"ORL","Franz Wagner",2337,19.7,3.7,4.29,1,1.06,0.39,11.61,4.64,1.31,1.96,"F",92,75,66,74,71
"ORL","Joe Ingles",1169,4.4,3,1.82,0.26,0.63,0.07,0.82,2.37,1.03,3.03,"F-G",3,21,72,19,10
"ORL","Gary Harris",1297,6.9,1.6,1.24,0.44,0.91,0.26,1.78,3.8,1.41,2.81,"G",18,42,55,52,9
"ORL","Jalen Suggs",2025,12.6,2.7,2.41,0.64,1.41,0.63,4.24,5.13,2.04,1.55,"G",56,70,44,92,29
"ORL","Wendell Carter Jr.",1406,11,1.7,4.89,2.04,0.64,0.51,5.49,3.11,1.16,1.4,"C-F",57,51,27,41,88
"ORL","Jonathan Isaac",914,6.8,0.5,3.22,1.26,0.74,1.21,3.17,1.93,0.72,1.11,"F",29,23,2,80,66
"ORL","Caleb Houstan",815,4.3,0.5,0.95,0.47,0.25,0.07,0.24,3.27,1.22,1.81,"G",1,25,15,2,6
"ORL","Cole Anthony",1817,11.6,2.9,3.05,0.79,0.79,0.46,4.54,3.4,1.15,1.87,"G",52,53,53,50,46
"ORL","Moritz Wagner",1415,10.9,1.2,2.88,1.46,0.49,0.26,7.3,1.44,0.48,0.99,"F-C",63,33,7,18,67
"SAS","Blake Wesley",876,4.4,2.7,1.25,0.3,0.48,0.15,2.89,0.9,0.2,3.02,"G",16,6,70,12,6
"SAS","Keldon Johnson",2038,15.7,2.8,4.09,1.38,0.74,0.29,7.13,5.32,1.84,1.95,"G-F",75,73,53,39,77
"SAS","Tre Jones",2138,10,6.2,3,0.75,1.01,0.12,5.87,2.48,0.83,4.12,"G",56,39,97,55,43
"SAS","Jeremy Sochan",2193,11.6,3.4,4.58,1.85,0.84,0.54,6.92,3.07,0.95,1.78,"F",64,47,59,60,86
"SAS","Doug McDermott",700,6,1.2,0.87,0.17,0.24,0.04,0.65,3.76,1.65,2.38,"F",9,44,40,1,1
"SAS","Victor Wembanyama",2106,21.4,3.9,8.37,2.27,1.24,3.58,10.11,5.55,1.8,1.05,"F-C",90,85,49,100,97
"SAS","Zach Collins",1526,11.2,2.8,3.65,1.71,0.49,0.75,6.41,2.62,0.84,1.47,"F-C",60,43,44,38,79
"SAS","Cedi Osman",1269,6.8,1.7,2.15,0.35,0.5,0.15,2.56,3.07,1.19,2.53,"F",23,35,50,14,18
"SAS","Malaki Branham",1594,9.2,2.1,1.6,0.37,0.36,0.11,3.95,3.57,1.24,1.71,"G",43,45,39,6,11
"SAS","Julian Champagnie",1468,6.8,1.4,2.22,0.57,0.65,0.57,1.65,3.74,1.36,1.81,"F",17,41,33,44,26
"SAS","Devin Vassell",2248,19.5,4.1,3.44,0.4,1.07,0.34,6.65,6.56,2.44,2.56,"G",81,89,77,72,39
"SAC","Chris Duarte",719,3.9,0.7,1.36,0.44,0.47,0.14,1.08,2.15,0.75,1.69,"G",3,14,16,12,9
"SAC","Domantas Sabonis",2928,19.4,8.2,10.07,3.59,0.9,0.59,13.85,1.06,0.4,2.47,"C",95,60,97,69,100
"SAC","Malik Monk",1872,15.4,5.1,2.56,0.39,0.63,0.54,5.58,5.88,2.06,2.47,"G",71,77,85,42,25
"SAC","Davion Mitchell",1101,5.3,1.9,1.06,0.26,0.24,0.04,2,2.19,0.79,3.12,"G",13,20,65,1,3
"SAC","Trey Lyles",1158,7.2,1.2,3.38,1.05,0.29,0.33,1.97,3.78,1.45,1.89,"F",20,44,31,8,61
"SAC","Keon Ellis",978,5.4,1.5,1.61,0.56,0.89,0.51,1.05,2.95,1.23,2.3,"G",9,30,43,63,16
"SAC","Keegan Murray",2588,15.2,1.7,4.08,1.38,1.03,0.77,5.35,6.64,2.38,2.02,"F",68,82,40,83,77
"SAC","Kevin Huerter",1562,10.2,2.6,2.91,0.59,0.7,0.36,3.56,5.33,1.92,3.13,"G-F",44,62,71,39,36
"SAC","Harrison Barnes",2381,12.2,1.2,2.22,0.82,0.66,0.15,4.24,4.7,1.82,1.71,"F",53,65,26,26,31
"SAC","De'Aaron Fox",2659,26.6,5.6,3.69,0.91,2.03,0.42,11.43,7.84,2.89,2.15,"G",98,98,85,99,61
"PHX","Jordan Goodwin",558,5,2,1.93,1,0.58,0.23,2.2,2,0.58,2.69,"G",14,14,58,22,33
"PHX","Drew Eubanks",1169,5.1,0.8,2.92,1.37,0.36,0.81,3.95,0.04,0.04,1.03,"F-C",27,5,3,28,64
"PHX","Josh Okogie",960,4.6,1.1,1.33,1.23,0.8,0.4,1.87,1.57,0.48,1.78,"G",10,9,26,49,30
"PHX","Devin Booker",2447,27.1,6.9,3.71,0.82,0.9,0.41,9,6.15,2.24,2.65,"G",96,95,94,59,58
"PHX","Royce O'Neale",752,8.1,2.7,4.47,0.73,0.9,0.5,1.8,5.23,1.97,3.73,"F",24,58,80,64,68
"PHX","David Roddy",63,1.3,0.2,0.53,0.12,0.12,0,1.06,0.47,0.06,1.33,"F",42,36,24,18,58
"PHX","Kevin Durant",2791,27.1,5,6.05,0.55,0.92,1.21,8.85,5.43,2.24,1.55,"F",95,95,72,87,79
"PHX","Jusuf Nurkic",2078,10.9,4,8.07,2.95,1.07,1.05,7.71,1.18,0.29,1.72,"C",67,27,64,89,98
"PHX","Keita Bates-Diop",597,4.5,0.9,1.82,0.77,0.56,0.51,2.21,1.64,0.51,2.62,"F",11,9,41,33,26
"PHX","Eric Gordon",1893,11,2,1.56,0.24,0.97,0.44,3.56,5.84,2.21,1.9,"G",47,69,42,69,8
"PHX","Bradley Beal",1767,18.2,5,3.36,1.02,0.98,0.51,8.08,4.43,1.91,2.02,"G",82,81,78,73,59
"PHX","Grayson Allen",2513,13.5,3,3.29,0.64,0.92,0.6,3.55,5.93,2.73,2.39,"G",54,83,65,71,44
"OKC","Isaiah Joe",1445,8.2,1.3,1.9,0.41,0.59,0.28,1.15,4.53,1.88,2.11,"G",19,55,37,25,15
"OKC","Luguentz Dort",2246,10.9,1.4,2.66,0.94,0.91,0.59,2.94,5.01,1.97,1.53,"G",44,65,23,70,43
"OKC","Jaylin Williams",897,4,1.6,2.87,0.52,0.41,0.39,1.13,2.09,0.77,3.24,"F",4,15,62,16,31
"OKC","Tre Mann",119,3.8,1.5,1.54,0.31,0.23,0,1.38,1.46,0.62,2.22,"G",60,58,86,93,54
"OKC","Jalen Williams",2223,19.1,4.5,3.45,0.52,1.13,0.63,9.92,3.39,1.45,2.62,"G-F",86,76,82,84,42
"OKC","Josh Giddey",2011,12.3,4.8,5.04,1.39,0.64,0.55,7.2,3.04,1.03,2.3,"G",68,53,80,43,84
"OKC","Bismack Biyombo",73,1.8,0.2,1.3,0.5,0.1,0.3,1.4,0,0,0.5,"C",30,4,24,43,85
"OKC","Kenrich Williams",1029,4.7,1.3,2.14,0.88,0.55,0.13,2.03,2.04,0.81,2.91,"G-F",11,17,52,17,32
"OKC","Gordon Hayward",447,5.3,1.6,1.96,0.5,0.46,0.04,1.92,1.12,0.58,2.8,"F",73,55,78,80,64
"OKC","Cason Wallace",1692,6.8,1.5,1.65,0.63,0.93,0.45,2.46,2.85,1.2,2.67,"G",23,35,50,65,18
"OKC","Aaron Wiggins",1228,6.9,1.1,1.62,0.77,0.72,0.24,3.77,1.62,0.79,1.54,"G",33,24,18,35,23
"OKC","Shai Gilgeous-Alexander",2553,30.1,6.2,4.67,0.87,2,0.89,14.21,3.59,1.27,2.87,"G",99,92,93,100,73
"OKC","Chet Holmgren",2413,16.5,2.4,6.33,1.57,0.65,2.32,8.41,4.26,1.57,1.53,"C-F",80,71,39,96,90
"POR","Rayan Rupert",633,4,1.6,1.74,0.62,0.31,0.08,1.28,2,0.72,2,"G",5,13,38,4,20
"POR","Toumani Camara",1739,7.5,1.2,2.91,1.99,0.94,0.47,3.89,2.46,0.83,1.04,"F",37,28,9,67,78
"POR","Jerami Grant",1830,21,2.8,2.85,0.69,0.83,0.63,7.59,5.11,2.06,1.31,"F",85,88,40,64,40
"POR","Anfernee Simons",1582,22.6,5.5,3.15,0.48,0.5,0.11,7,8.8,3.39,2.02,"G",85,97,83,12,36
"POR","Dalano Banton",876,16.7,3.6,3.8,0.97,0.93,0.57,8,6.1,1.9,1.61,"G",79,78,57,70,65
"POR","Deandre Ayton",1784,16.7,1.6,7.87,3.2,1.02,0.76,11.49,0.18,0.02,0.91,"C",87,44,11,82,98
"POR","Matisse Thybulle",1487,5.4,1.4,1.63,0.46,1.74,0.75,1.35,3.55,1.23,2.25,"G-F",10,30,41,98,13
"POR","Scoot Henderson",1765,14,5.4,2.27,0.85,0.77,0.21,5.45,4.32,1.4,1.58,"G",64,63,75,37,34
"POR","Kris Murray",1348,6.1,1.3,2.24,1.37,0.85,0.34,3.1,2.95,0.79,1.45,"F",24,22,19,50,55
"POR","Duop Reath",1214,9.1,1,2.31,1.37,0.49,0.56,4.06,3.6,1.29,1.29,"C",43,46,10,28,56
"POR","Shaedon Sharpe",1059,15.9,2.9,3.69,1.31,0.88,0.38,5.69,5.63,1.88,1.31,"G",73,74,43,56,72
"POR","Malcolm Brogdon",1121,15.7,5.5,3.08,0.72,0.69,0.21,5.23,5.1,2.1,3.57,"G",70,79,93,30,43
"POR","Jabari Walker",1700,8.9,1,4.96,2.1,0.58,0.31,5.14,1.93,0.57,1.08,"F",47,26,7,26,89
"GSW","Dario Saric",1098,8,2.3,3.28,1.14,0.48,0.16,3.06,3.08,1.16,1.85,"F-C",33,40,45,13,62
"GSW","Brandin Podziemski",1968,9.2,3.7,4.18,1.59,0.82,0.19,4.62,3.16,1.22,3.1,"G",46,45,81,42,81
"GSW","Klay Thompson",2284,17.9,2.3,2.84,0.45,0.65,0.45,3.09,8.99,3.48,1.5,"G",65,94,37,38,29
"GSW","Draymond Green",1490,8.6,6,5.85,1.38,1,0.85,4.69,2.35,0.93,2.46,"F",45,36,90,83,87
"GSW","Andrew Wiggins",1920,13.2,1.7,3,1.52,0.59,0.58,6.11,3.58,1.28,1.37,"F",66,59,25,40,70
"GSW","Trayce Jackson-Davis",1130,7.9,1.2,3.03,1.99,0.43,1.12,6.79,0.01,0,1.67,"F",51,9,23,50,78
"GSW","Stephen Curry",2421,26.4,5.1,3.96,0.5,0.73,0.38,5.86,11.84,4.82,1.8,"G",87,100,76,43,52
"GSW","Chris Paul",1531,9.2,6.8,3.57,0.31,1.21,0.1,1.97,3.62,1.34,5.17,"G",31,48,99,74,37
"GSW","Gary Payton II",680,5.5,1.1,1.52,1.05,0.89,0.41,3.77,1.25,0.45,1.78,"G",28,12,26,58,28
"GSW","Moses Moody",1156,8.1,0.9,1.98,0.98,0.64,0.36,3.33,3.03,1.09,1.3,"G",36,39,9,33,33
"GSW","Jonathan Kuminga",1949,16.1,2.2,3.55,1.24,0.74,0.49,10,2.23,0.72,1.34,"F",83,57,34,48,69
"GSW","Kevon Looney",1195,4.5,1.8,3.73,1.93,0.38,0.39,3.59,0.01,0,2.66,"C-F",19,2,54,15,83
