"Team_Alias","Player_Name","Minutes","PPG","APG","DefRBD","OffRBD","SPG","BPG","Paint_PPG","att_3PT_pg","made_3PT_pg","ATO","Position","scoring","shooting","passing","defense","rebounding"
"CHA","Nick Richards",1759,9.7,0.8,5.48,2.57,0.39,1.1,7.58,0.01,0,0.74,"C",62,16,2,46,93
"CHA","Gordon Hayward",798,14.5,4.6,3.68,1,1.12,0.48,6.8,2.44,0.88,2.27,"F",73,55,78,80,64
"CHA","Miles Bridges",2581,21,3.3,6.29,1.03,0.94,0.48,10.23,6.52,2.28,1.67,"F",89,89,54,68,86
"CHA","Nick Smith Jr.",729,5.9,1.2,1.06,0.35,0.2,0.14,1.33,2.86,1.24,1.51,"G",12,32,19,1,5
"CHA","LaMelo Ball",711,23.9,8,3.82,1.32,1.82,0.18,9.91,8.95,3.18,2.12,"G",93,97,95,96,74
"CHA","Dāvis Bertāns",583,8.8,0.9,1.57,0.25,0.82,0.32,0.86,6.29,2.36,1.53,"F",19,66,15,48,8
"CHA","Terry Rozier",1065,23.2,6.6,3.33,0.57,1.07,0.4,8.87,7.73,2.77,3.05,"G",90,94,96,76,42
"CHA","Terry Rozier",1065,23.2,6.6,3.33,0.57,1.07,0.4,8.87,7.73,2.77,3.05,"G",73,81,90,62,49
"LAC","Ivica Zubac",1794,11.7,1.4,6.32,2.88,0.32,1.22,9.88,0,0,1.18,"C",76,23,14,45,96
"LAC","Russell Westbrook",1529,11.1,4.5,3.68,1.37,1.09,0.34,6.91,2.26,0.62,2.13,"G",62,39,74,76,74
"LAC","Bones Hyland",540,6.9,2.5,1.35,0.14,0.7,0.11,2.54,3.65,1.19,2.11,"G",24,36,52,27,3
"LAC","Mason Plumlee",674,5.3,1.2,3.78,1.3,0.3,0.37,3.78,0.13,0,1.53,"F-C",26,5,20,9,73
"LAC","James Harden",2470,16.6,8.5,4.65,0.47,1.07,0.79,3.92,6.78,2.58,3.32,"G",66,86,98,85,61
"LAC","Terance Mann",1873,8.8,1.6,2.23,1.16,0.57,0.2,4.67,2.72,0.95,2.48,"G-F",45,37,48,20,45
"LAC","Amir Coffey",1460,6.6,1.1,1.7,0.41,0.59,0.2,2.43,2.63,1,2.3,"G-F",21,29,38,21,12
"LAC","Kawhi Leonard",2330,23.7,3.6,4.88,1.24,1.63,0.87,10.5,4.94,2.06,2.05,"F",93,91,66,97,81
"LAC","Paul George",2502,22.6,3.5,4.74,0.5,1.53,0.5,5.62,7.95,3.28,1.71,"F",83,97,58,94,65
"LAC","Daniel Theis",1007,6.3,1,2.69,1.44,0.36,0.86,4.27,1.19,0.44,1.45,"F-C",35,15,14,32,63
"LAC","Norman Powell",1990,13.9,1.1,2.36,0.21,0.57,0.29,4.53,5.05,2.2,1.24,"G",59,75,10,24,17
"BOS","Payton Pritchard",1825,9.6,3.4,2.38,0.85,0.48,0.07,2.66,4.66,1.79,4.61,"G",38,59,92,10,37
"BOS","Oshae Brissett",630,3.7,0.8,1.8,1.11,0.35,0.15,1.89,1,0.27,2.2,"F-G",8,6,32,6,36
"BOS","Kristaps Porzingis",1690,20.1,2,5.47,1.7,0.74,1.95,8.63,5.14,1.93,1.29,"F-C",85,84,29,93,87
"BOS","Jrue Holiday",2263,12.5,4.8,4.19,1.22,0.88,0.77,4.72,4.67,2,2.69,"G",57,69,85,77,75
"BOS","Dalano Banton",171,2.3,0.8,0.96,0.5,0.21,0.13,1.42,0.67,0.08,1.9,"G",79,78,57,70,65
"BOS","Jayson Tatum",2645,26.9,4.9,7.22,0.91,1.01,0.58,9.43,8.23,3.09,1.94,"F-G",96,99,76,78,88
"BOS","Derrick White",2381,15.2,5.2,3.55,0.7,1.01,1.19,4.74,6.78,2.68,3.37,"G",65,84,91,90,52
"BOS","Al Horford",1740,8.6,2.6,5.09,1.26,0.58,0.95,3.05,3.97,1.66,3.5,"C-F",37,54,77,56,83
"BOS","Sam Hauser",1741,9,1,2.92,0.57,0.51,0.32,1.06,5.89,2.49,2.56,"F",22,68,42,21,35
"BOS","Xavier Tillman Sr.",274,4,1,2,0.7,0.45,0.45,2.5,1.4,0.4,4,"F-C",34,10,39,94,72
"BOS","Luke Kornet",983,5.3,1.1,2.27,1.87,0.37,0.97,4.41,0.02,0.02,3.19,"C-F",31,5,56,38,70
"BOS","Jaylen Brown",2343,23,3.6,4.33,1.2,1.19,0.53,11.49,5.86,2.07,1.5,"G-F",95,90,56,85,76
